time,container,name,cpu,mem,pids
1757258946,bde3b1a58e27,software_architecture_assigment1-app-1,0.53%,11.22MiB / 3.828GiB,13
1757258946,6cd3710eac22,traefik,5.84%,60.3MiB / 3.828GiB,14
1757258946,37f0189a4b42,software_architecture_assigment1-redis-1,1.06%,9.363MiB / 3.828GiB,6
1757258946,20e74b0236e8,friendly_agnesi,5.02%,11.95MiB / 3.828GiB,10
1757258953,20e74b0236e8,friendly_agnesi,1.19%,12.04MiB / 3.828GiB,10
1757258953,bde3b1a58e27,software_architecture_assigment1-app-1,0.41%,10.98MiB / 3.828GiB,13
1757258953,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258953,37f0189a4b42,software_architecture_assigment1-redis-1,1.07%,9.359MiB / 3.828GiB,6
1757258961,20e74b0236e8,friendly_agnesi,1.49%,12.11MiB / 3.828GiB,10
1757258961,bde3b1a58e27,software_architecture_assigment1-app-1,0.34%,10.98MiB / 3.828GiB,13
1757258961,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258961,37f0189a4b42,software_architecture_assigment1-redis-1,0.83%,9.609MiB / 3.828GiB,6
1757258969,20e74b0236e8,friendly_agnesi,1.67%,12.27MiB / 3.828GiB,13
1757258969,bde3b1a58e27,software_architecture_assigment1-app-1,0.33%,10.98MiB / 3.828GiB,13
1757258969,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258969,37f0189a4b42,software_architecture_assigment1-redis-1,1.11%,9.359MiB / 3.828GiB,6
1757258976,20e74b0236e8,friendly_agnesi,1.51%,12.55MiB / 3.828GiB,13
1757258976,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,11.23MiB / 3.828GiB,13
1757258976,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258976,37f0189a4b42,software_architecture_assigment1-redis-1,1.66%,9.359MiB / 3.828GiB,6
1757258984,20e74b0236e8,friendly_agnesi,1.30%,12.34MiB / 3.828GiB,13
1757258984,bde3b1a58e27,software_architecture_assigment1-app-1,0.30%,10.98MiB / 3.828GiB,13
1757258984,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258984,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.609MiB / 3.828GiB,6
1757258990,20e74b0236e8,friendly_agnesi,1.56%,12.35MiB / 3.828GiB,13
1757258990,bde3b1a58e27,software_architecture_assigment1-app-1,0.44%,10.98MiB / 3.828GiB,13
1757258990,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258990,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.609MiB / 3.828GiB,6
1757258998,20e74b0236e8,friendly_agnesi,1.49%,12.45MiB / 3.828GiB,13
1757258998,bde3b1a58e27,software_architecture_assigment1-app-1,0.47%,10.98MiB / 3.828GiB,13
1757258998,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258998,37f0189a4b42,software_architecture_assigment1-redis-1,0.87%,9.609MiB / 3.828GiB,6
1757259005,20e74b0236e8,friendly_agnesi,1.70%,14.97MiB / 3.828GiB,13
1757259005,bde3b1a58e27,software_architecture_assigment1-app-1,0.57%,10.98MiB / 3.828GiB,13
1757259005,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259005,37f0189a4b42,software_architecture_assigment1-redis-1,1.13%,9.609MiB / 3.828GiB,6
1757259013,20e74b0236e8,friendly_agnesi,1.39%,15.2MiB / 3.828GiB,13
1757259013,bde3b1a58e27,software_architecture_assigment1-app-1,0.41%,10.98MiB / 3.828GiB,13
1757259013,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259013,37f0189a4b42,software_architecture_assigment1-redis-1,1.11%,9.609MiB / 3.828GiB,6
1757259020,20e74b0236e8,friendly_agnesi,1.90%,15.27MiB / 3.828GiB,13
1757259020,bde3b1a58e27,software_architecture_assigment1-app-1,0.46%,10.98MiB / 3.828GiB,13
1757259020,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259020,37f0189a4b42,software_architecture_assigment1-redis-1,1.20%,9.359MiB / 3.828GiB,6
1757259028,20e74b0236e8,friendly_agnesi,2.60%,15.29MiB / 3.828GiB,13
1757259028,bde3b1a58e27,software_architecture_assigment1-app-1,0.57%,10.98MiB / 3.828GiB,13
1757259028,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259028,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.359MiB / 3.828GiB,6
1757259035,20e74b0236e8,friendly_agnesi,1.51%,15.29MiB / 3.828GiB,13
1757259035,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,10.98MiB / 3.828GiB,13
1757259035,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259035,37f0189a4b42,software_architecture_assigment1-redis-1,1.09%,9.359MiB / 3.828GiB,6
1757259043,20e74b0236e8,friendly_agnesi,1.32%,15.36MiB / 3.828GiB,13
1757259043,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,10.98MiB / 3.828GiB,13
1757259043,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259043,37f0189a4b42,software_architecture_assigment1-redis-1,1.08%,9.359MiB / 3.828GiB,6
1757259050,20e74b0236e8,friendly_agnesi,2.33%,15.36MiB / 3.828GiB,13
1757259050,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.98MiB / 3.828GiB,13
1757259050,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259050,37f0189a4b42,software_architecture_assigment1-redis-1,1.15%,9.359MiB / 3.828GiB,6
1757259058,20e74b0236e8,friendly_agnesi,2.89%,15.36MiB / 3.828GiB,13
1757259058,bde3b1a58e27,software_architecture_assigment1-app-1,0.48%,11.22MiB / 3.828GiB,13
1757259058,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259058,37f0189a4b42,software_architecture_assigment1-redis-1,0.93%,9.609MiB / 3.828GiB,6
1757259065,20e74b0236e8,friendly_agnesi,1.50%,15.4MiB / 3.828GiB,13
1757259065,bde3b1a58e27,software_architecture_assigment1-app-1,0.37%,10.98MiB / 3.828GiB,13
1757259065,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259065,37f0189a4b42,software_architecture_assigment1-redis-1,0.93%,9.359MiB / 3.828GiB,6
1757259073,20e74b0236e8,friendly_agnesi,1.71%,15.4MiB / 3.828GiB,13
1757259073,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259073,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259073,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.359MiB / 3.828GiB,6
1757259080,20e74b0236e8,friendly_agnesi,1.54%,15.41MiB / 3.828GiB,13
1757259080,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,11.23MiB / 3.828GiB,13
1757259080,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259080,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.359MiB / 3.828GiB,6
1757259088,20e74b0236e8,friendly_agnesi,1.34%,15.43MiB / 3.828GiB,13
1757259088,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259088,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259088,37f0189a4b42,software_architecture_assigment1-redis-1,0.99%,9.613MiB / 3.828GiB,6
1757259095,20e74b0236e8,friendly_agnesi,1.46%,15.44MiB / 3.828GiB,13
1757259095,bde3b1a58e27,software_architecture_assigment1-app-1,0.45%,10.98MiB / 3.828GiB,13
1757259095,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259095,37f0189a4b42,software_architecture_assigment1-redis-1,1.21%,9.609MiB / 3.828GiB,6
1757259103,20e74b0236e8,friendly_agnesi,1.38%,15.46MiB / 3.828GiB,13
1757259103,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.98MiB / 3.828GiB,13
1757259103,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259103,37f0189a4b42,software_architecture_assigment1-redis-1,1.31%,9.359MiB / 3.828GiB,6
1757259110,20e74b0236e8,friendly_agnesi,1.65%,15.5MiB / 3.828GiB,13
1757259110,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,11.22MiB / 3.828GiB,13
1757259110,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259110,37f0189a4b42,software_architecture_assigment1-redis-1,1.14%,9.363MiB / 3.828GiB,6
1757259118,20e74b0236e8,friendly_agnesi,1.58%,15.5MiB / 3.828GiB,13
1757259118,bde3b1a58e27,software_architecture_assigment1-app-1,0.35%,10.98MiB / 3.828GiB,13
1757259118,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259118,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.359MiB / 3.828GiB,6
