time,container,name,cpu,mem,pids
1757257690,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.8MiB / 3.828GiB,14
1757257690,6cd3710eac22,traefik,1.28%,41.41MiB / 3.828GiB,11
1757257690,37f0189a4b42,software_architecture_assigment1-redis-1,1.08%,9.363MiB / 3.828GiB,6
1757257690,c8ad98610be9,mystifying_lumiere,1.72%,11.53MiB / 3.828GiB,9
1757257697,c8ad98610be9,mystifying_lumiere,1.70%,11.83MiB / 3.828GiB,9
1757257697,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257697,6cd3710eac22,traefik,1.34%,41.41MiB / 3.828GiB,11
1757257697,37f0189a4b42,software_architecture_assigment1-redis-1,1.02%,9.359MiB / 3.828GiB,6
1757257705,c8ad98610be9,mystifying_lumiere,1.45%,12.13MiB / 3.828GiB,10
1757257705,bde3b1a58e27,software_architecture_assigment1-app-1,0.34%,10.8MiB / 3.828GiB,14
1757257705,6cd3710eac22,traefik,0.93%,41.41MiB / 3.828GiB,11
1757257705,37f0189a4b42,software_architecture_assigment1-redis-1,1.88%,9.359MiB / 3.828GiB,6
1757257712,c8ad98610be9,mystifying_lumiere,2.25%,12.23MiB / 3.828GiB,10
1757257712,bde3b1a58e27,software_architecture_assigment1-app-1,0.48%,10.8MiB / 3.828GiB,14
1757257712,6cd3710eac22,traefik,1.21%,41.45MiB / 3.828GiB,11
1757257712,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.359MiB / 3.828GiB,6
1757257720,c8ad98610be9,mystifying_lumiere,1.56%,12.44MiB / 3.828GiB,13
1757257720,bde3b1a58e27,software_architecture_assigment1-app-1,0.45%,10.8MiB / 3.828GiB,14
1757257720,6cd3710eac22,traefik,0.98%,41.43MiB / 3.828GiB,11
1757257720,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.363MiB / 3.828GiB,6
1757257727,c8ad98610be9,mystifying_lumiere,1.49%,13.03MiB / 3.828GiB,13
1757257727,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257727,6cd3710eac22,traefik,0.86%,41.44MiB / 3.828GiB,11
1757257727,37f0189a4b42,software_architecture_assigment1-redis-1,1.02%,9.359MiB / 3.828GiB,6
1757257735,c8ad98610be9,mystifying_lumiere,1.53%,12.78MiB / 3.828GiB,13
1757257735,bde3b1a58e27,software_architecture_assigment1-app-1,0.53%,10.8MiB / 3.828GiB,14
1757257735,6cd3710eac22,traefik,1.27%,43.47MiB / 3.828GiB,11
1757257735,37f0189a4b42,software_architecture_assigment1-redis-1,0.97%,9.359MiB / 3.828GiB,6
1757257742,c8ad98610be9,mystifying_lumiere,1.40%,12.8MiB / 3.828GiB,13
1757257742,bde3b1a58e27,software_architecture_assigment1-app-1,0.38%,10.8MiB / 3.828GiB,14
1757257742,6cd3710eac22,traefik,0.98%,43.53MiB / 3.828GiB,11
1757257742,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.609MiB / 3.828GiB,6
